id,type,readonly,group,name
0,8,1,imu_sensors,BMP388
1,8,1,imu_sensors,HMC5883L
2,8,1,imu_sensors,MS5611
3,8,1,imu_tests,MPU6500
4,8,1,imu_tests,HMC5883L
5,8,1,imu_tests,MS5611
6,8,1,imu_sensors,BMP388
7,9,1,cpu,flash
8,10,1,cpu,id0
9,10,1,cpu,id1
10,10,1,cpu,id2
11,0,0,system,selftestPassed
12,8,0,sound,effect
13,10,1,sound,neffect
14,9,0,sound,freq
15,8,0,sound,ratio
16,8,0,system,taskDump
17,8,0,memTst,resetW
18,8,0,commander,enHighLevel
19,8,0,flightmode,althold
20,8,0,flightmode,poshold
21,8,0,flightmode,posSet
22,8,0,flightmode,yawMode
23,8,0,flightmode,yawRst
24,8,0,flightmode,stabModeRoll
25,8,0,flightmode,stabModePitch
26,8,0,flightmode,stabModeYaw
27,6,0,cmdrCPPM,rateRoll
28,6,0,cmdrCPPM,ratePitch
29,6,0,cmdrCPPM,rateYaw
30,6,0,cmdrCPPM,angRoll
31,6,0,cmdrCPPM,angPitch
32,8,0,locSrv,enRangeStreamFP32
33,6,0,locSrv,extPosStdDev
34,6,0,locSrv,extQuatStdDev
35,6,0,pid_attitude,roll_kp
36,6,0,pid_attitude,roll_ki
37,6,0,pid_attitude,roll_kd
38,6,0,pid_attitude,pitch_kp
39,6,0,pid_attitude,pitch_ki
40,6,0,pid_attitude,pitch_kd
41,6,0,pid_attitude,yaw_kp
42,6,0,pid_attitude,yaw_ki
43,6,0,pid_attitude,yaw_kd
44,6,0,pid_rate,roll_kp
45,6,0,pid_rate,roll_ki
46,6,0,pid_rate,roll_kd
47,6,0,pid_rate,pitch_kp
48,6,0,pid_rate,pitch_ki
49,6,0,pid_rate,pitch_kd
50,6,0,pid_rate,yaw_kp
51,6,0,pid_rate,yaw_ki
52,6,0,pid_rate,yaw_kd
53,6,0,sensfusion6,kp
54,6,0,sensfusion6,ki
55,6,0,sensfusion6,baseZacc
56,8,0,health,startPropTest
57,8,0,stabilizer,estimator
58,8,0,stabilizer,controller
59,8,0,stabilizer,stop
60,6,0,posEstAlt,estAlphaAsl
61,6,0,posEstAlt,estAlphaZr
62,6,0,posEstAlt,velFactor
63,6,0,posEstAlt,velZAlpha
64,6,0,posEstAlt,vAccDeadband
65,6,0,posCtlPid,xKp
66,6,0,posCtlPid,xKi
67,6,0,posCtlPid,xKd
68,6,0,posCtlPid,yKp
69,6,0,posCtlPid,yKi
70,6,0,posCtlPid,yKd
71,6,0,posCtlPid,zKp
72,6,0,posCtlPid,zKi
73,6,0,posCtlPid,zKd
74,9,0,posCtlPid,thrustBase
75,9,0,posCtlPid,thrustMin
76,6,0,posCtlPid,rpLimit
77,6,0,posCtlPid,xyVelMax
78,6,0,posCtlPid,zVelMax
79,6,0,velCtlPid,vxKp
80,6,0,velCtlPid,vxKi
81,6,0,velCtlPid,vxKd
82,6,0,velCtlPid,vyKp
83,6,0,velCtlPid,vyKi
84,6,0,velCtlPid,vyKd
85,6,0,velCtlPid,vzKp
86,6,0,velCtlPid,vzKi
87,6,0,velCtlPid,vzKd
88,8,0,controller,tiltComp
89,6,0,ctrlMel,kp_xy
90,6,0,ctrlMel,kd_xy
91,6,0,ctrlMel,ki_xy
92,6,0,ctrlMel,i_range_xy
93,6,0,ctrlMel,kp_z
94,6,0,ctrlMel,kd_z
95,6,0,ctrlMel,ki_z
96,6,0,ctrlMel,i_range_z
97,6,0,ctrlMel,mass
98,6,0,ctrlMel,massThrust
99,6,0,ctrlMel,kR_xy
100,6,0,ctrlMel,kR_z
101,6,0,ctrlMel,kw_xy
102,6,0,ctrlMel,kw_z
103,6,0,ctrlMel,ki_m_xy
104,6,0,ctrlMel,ki_m_z
105,6,0,ctrlMel,kd_omega_rp
106,6,0,ctrlMel,i_range_m_xy
107,6,0,ctrlMel,i_range_m_z
108,8,0,motorPowerSet,enable
109,9,0,motorPowerSet,m1
110,9,0,motorPowerSet,m2
111,9,0,motorPowerSet,m3
112,9,0,motorPowerSet,m4
113,8,0,kalman,resetEstimation
114,8,0,kalman,quadIsFlying
115,6,0,kalman,pNAcc_xy
116,6,0,kalman,pNAcc_z
117,6,0,kalman,pNVel
118,6,0,kalman,pNPos
119,6,0,kalman,pNAtt
120,6,0,kalman,mNBaro
121,6,0,kalman,mNGyro_rollpitch
122,6,0,kalman,mNGyro_yaw
123,6,0,kalman,initialX
124,6,0,kalman,initialY
125,6,0,kalman,initialZ
126,6,0,kalman,initialYaw
127,6,0,kalman,maxPos
128,6,0,kalman,maxVel
129,8,1,deck,bcLedRing
130,8,0,ring,effect
131,10,1,ring,neffect
132,8,0,ring,solidRed
133,8,0,ring,solidGreen
134,8,0,ring,solidBlue
135,8,0,ring,headlightEnable
136,6,0,ring,glowstep
137,6,0,ring,emptyCharge
138,6,0,ring,fullCharge
139,10,0,ring,fadeColor
140,6,0,ring,fadeTime
141,8,1,deck,bcBuzzer
142,8,1,deck,bcGTGPS
143,8,1,deck,bcCPPM
144,8,1,deck,bcUSD
145,8,0,usd,logging
146,8,1,deck,bcZRanger
147,8,1,deck,bcZRanger2
148,8,1,deck,bcDWM1000
149,8,0,loco,mode
150,8,0,tdoa3,logId
151,8,0,tdoa3,logOthrId
152,8,1,deck,bcFlow
153,8,1,deck,bcFlow2
154,8,0,motion,disable
155,8,1,deck,bcOA
156,8,1,deck,bcMultiranger
157,8,1,deck,bdLighthouse4
158,8,0,activeMarker,front
159,8,0,activeMarker,back
160,8,0,activeMarker,left
161,8,0,activeMarker,right
162,10,1,firmware,revision0
163,9,1,firmware,revision1
164,8,1,firmware,modified
