Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.53401,0.3,0,0,0,-0.277327,0.262989,-0.0861297,0.00881224,0,0,0,0,1.26843,-1.88551,0.988225,-0.179557,0.3,0,0,0,0.117327,-0.147461,0.0685658,-0.0113832,0,0,0,0,0,0,0,0
1.40705,0.0520945,-0.308903,-0.00436918,-0.0233992,-0.478954,1.0558,-0.698746,0.151231,0.295442,0.0992159,-0.100269,-0.0405084,-0.0364867,-0.0478986,0.0875093,-0.0268328,0.363,0.0675863,-0.00189128,-0.0061314,-0.0440306,0.057624,-0.0258647,0.00404978,0,0,0,0,0,0,0,0
1.3428,-0.281908,-0.0124992,0.0516089,0.000683705,0.142388,-0.178996,0.0802969,-0.0124788,0.102606,-0.330659,-0.00164976,0.000224531,-0.404483,0.899912,-0.619902,0.140292,0.426,0.0286507,0.00276149,0.00145184,0.136647,-0.235026,0.141516,-0.0294449,0,0,0,0,0,0,0,0
1.36313,-0.15,0.190289,0.0328084,0.00632116,0.963231,-1.73071,1.06056,-0.221929,-0.259808,-0.103107,0.0426726,-6.09487e-05,0.209834,-0.209102,0.0688224,-0.0061183,0.489,0.0453623,-0.00156046,-0.000134677,0.0589814,-0.107082,0.0669223,-0.0142478,0,0,0,0,0,0,0,0
1.39802,0.229813,0.178494,-0.0473919,0.00647401,-0.219281,0.186234,-0.0444042,5.77316e-15,-0.192836,0.197722,0.0451053,0.00569588,0.875325,-1.57889,0.958449,-0.197558,0.552,0.0392766,0.000896051,0.000103713,0.115888,-0.207415,0.126622,-0.0262811,0,0,0,0,0,0,0,0
1.35919,0.229813,-0.178494,-0.0473919,-0.00647401,-0.775503,1.39206,-0.851967,0.178242,0.192836,0.153852,-0.0451053,0.00569588,0.246927,-0.584129,0.413127,-0.0946325,0.615,0.0311758,0.000896051,0.000171959,0.12332,-0.20753,0.123368,-0.0253789,0,0,0,0,0,0,0,0
1.32035,-0.15,-0.223254,0.0328084,0.000227167,-0.0829938,0.339177,-0.28346,0.0712145,0.259808,-0.103107,-0.0213368,3.44741e-05,-1.00268,1.63657,-0.960742,0.197444,0.678,0.0453623,0.000882633,0.000673386,0.146368,-0.287973,0.189975,-0.0422824,0,0,0,0,0,0,0,0
1.39802,-0.281908,0.0709489,0.0516089,0.000683705,0.584732,-0.897735,0.49381,-0.095242,-0.102606,-0.330659,0.00164976,0.00886899,-0.161693,0.585303,-0.44997,0.104752,0.741,0.0286507,0.00345186,0.00145184,-0.00545199,0.0258983,-0.0211019,0.00501059,0,0,0,0,0,0,0,0
1.47569,0.0520945,0.308903,-0.00436918,-0.0233992,-0.00933513,-0.136115,0.134261,-0.0336581,-0.295442,0.194327,0.100269,-0.0405084,0.620466,-1.18988,0.736222,-0.150793,0.804,0.0675863,0.00605209,-0.0061314,0.0331692,-0.0940987,0.0678444,-0.015068,0,0,0,0,0,0,0,0
